weekend,wage_amt
0,2883.79
0,2407.97
0,2753.66
0,2672.77
0,2849.51
0,2408.92
0,2256.25
0,3004.63
0,3087.72
0,3507.01
0,2451.31
0,2758.58
0,2432.17
0,2995.1
0,4255.25
0,2296.0
0,3544.59
0,3439.15
0,3734.65
0,2759.98
0,2680.57
0,2078.75
0,2539.86
0,2152.75
0,3269.36
0,2722.56
0,2449.22
0,2579.57
0,3764.98
0,2173.68
0,2221.9
0,4749.59
0,2520.81
0,3409.41
0,2219.83
0,2128.96
0,3800.19
0,2535.77
0,2125.49
0,3255.78
0,1998.77
0,2278.82
0,2328.38
0,3626.79
0,2156.82
0,4665.21
0,2285.98
0,2440.6
0,2612.58
0,3838.39
0,2413.41
0,3557.21
0,2159.92
0,2418.66
0,4008.68
0,2544.1
0,3123.76
0,3546.33
0,4066.06
0,3534.77
0,2457.35
0,2626.62
0,2793.53
0,2663.47
0,2402.07
0,2581.26
0,3299.56
0,2671.71
0,2485.5
0,2818.4
0,2386.23
0,2566.5
0,2997.88
0,3266.43
0,2170.4
0,2403.04
0,2219.96
0,2546.19
0,4585.66
0,2396.35
0,2300.8
0,3387.15
0,3861.52
0,2334.76
0,2621.92
0,2520.28
0,2671.28
0,2389.1
0,2580.28
0,2602.08
0,2546.05
0,2212.23
0,2436.63
0,2423.12
0,3133.66
0,2216.28
0,2501.37
0,3687.08
0,2608.02
0,2801.89
0,2207.25
0,2347.88
0,3524.72
0,3583.45
0,2574.9
0,2572.15
0,2844.94
0,2461.12
0,2300.26
0,2449.81
0,2632.38
0,2191.92
0,4060.43
0,3714.64
0,3808.39
0,2579.11
0,4105.79
0,2885.65
0,3124.47
0,4426.18
0,2363.32
0,2644.97
0,2293.46
0,2309.07
0,4030.42
0,3320.9
0,2454.06
0,2495.73
0,3203.31
0,2260.53
0,2291.94
0,2991.71
0,3902.92
0,2199.81
0,2274.66
0,2068.05
0,4376.72
0,2116.31
0,2555.19
0,3089.91
0,3367.76
0,3062.4
0,2573.44
0,2465.07
0,2585.21
0,2297.94
0,2105.63
0,2442.45
0,2941.45
0,3113.76
0,3428.93
0,2258.69
0,2426.14
0,2377.73
0,2325.41
0,3508.43
0,2600.09
0,4308.79
0,4240.63
0,2346.31
0,2803.74
0,2432.22
0,2189.96
0,2302.92
0,4240.16
0,4011.39
0,2369.67
0,2448.35
0,3839.89
0,2160.34
0,3249.17
0,2180.57
0,3260.82
0,4123.55
0,2923.54
0,2630.85
0,3149.71
0,2420.6
0,3081.61
0,3089.77
0,2272.27
0,2569.6
0,2275.48
0,3293.78
0,2587.7
0,2631.11
0,3072.43
0,2385.69
0,2909.96
0,3515.7
0,2813.75
0,2453.7
0,2404.7
0,2783.82
0,3184.44
0,4519.83
0,2042.36
0,2155.2
0,2736.62
0,2133.13
0,4389.46
0,2348.49
0,2449.7
0,2242.33
0,2327.04
0,2357.11
0,2192.23
0,2838.99
0,2491.13
0,2682.58
0,2154.18
0,3010.49
0,2411.99
0,2704.4
0,2702.73
0,3192.77
0,2345.58
0,2534.11
0,2123.1
0,2463.87
0,3717.61
0,2315.26
0,2335.4
0,3077.12
0,2386.15
0,2325.34
0,3115.47
0,2339.48
0,2819.51
0,2949.11
0,2902.8
0,2299.71
0,2562.4
0,4192.55
0,3368.99
0,3408.47
0,2152.41
0,4273.94
0,2214.97
0,2137.78
0,3109.44
0,2303.04
0,3720.76
0,2302.76
0,2412.95
0,3718.36
0,2249.51
0,2008.5
0,3448.43
0,3802.76
0,2379.54
0,2339.81
0,2455.95
0,3536.22
0,2499.09
0,2479.03
0,2246.22
0,2697.77
0,2702.2
0,2457.41
0,3981.72
0,2408.77
0,2469.12
0,2486.13
0,2620.7
0,3409.0
0,3740.88
0,2387.48
0,2646.29
0,2656.1
0,2280.33
0,2554.75
0,2632.84
0,2418.1
0,2592.15
0,2594.44
0,3148.95
0,2339.62
0,3091.56
0,2225.82
0,2798.37
0,2256.15
0,2494.41
0,3905.45
0,2462.94
0,2421.58
0,2654.22
0,2218.73
0,2414.45
0,3861.42
0,3608.92
0,2077.25
0,3195.76
0,2477.26
0,2241.09
0,3809.29
0,4177.38
0,2261.8
0,2493.63
0,2450.13
0,2318.16
0,2146.53
0,2408.62
0,4368.0
0,2225.99
0,2679.4
0,2531.19
0,3407.94
0,2333.22
0,2450.87
0,2036.95
0,2189.05
0,2448.4
0,2410.46
0,2558.66
0,3540.83
0,2655.66
0,2298.01
0,2431.91
0,2407.71
0,2799.57
0,4291.5
0,2101.13
0,3847.27
0,2430.06
0,2378.86
0,2673.71
0,2557.9
0,2374.31
0,3449.01
0,3834.35
0,3519.93
0,3086.83
0,3164.68
0,3444.27
0,3435.98
0,4193.99
0,4193.11
0,2422.62
0,3214.0
0,3847.07
0,2599.3
0,2322.0
0,2889.44
0,2339.8
0,3426.12
0,1939.19
0,2655.49
0,2468.75
0,2261.39
0,4089.87
0,2728.22
0,2323.43
0,2018.83
0,2092.85
0,3304.31
0,2169.09
0,3592.41
0,2153.74
0,2191.54
0,2453.38
0,2128.05
0,2591.23
0,4208.58
0,2246.76
0,2243.64
0,2473.36
0,2579.52
0,4289.01
0,2249.4
0,2739.55
0,2169.71
0,3156.19
0,3843.85
0,2136.09
0,2236.04
0,2292.57
0,3291.64
0,2602.7
0,2617.67
0,2180.09
0,2178.72
0,2092.29
0,2325.85
0,2285.63
0,2446.73
0,3207.84
0,2226.49
0,3121.83
0,3420.78
0,2610.48
0,2277.24
0,2521.68
0,2227.57
0,2447.18
0,3216.29
0,2648.89
0,2632.93
0,2768.96
0,2296.13
0,2143.29
0,2659.0
0,2481.72
0,2491.54
0,2027.46
0,2403.53
0,2199.97
0,2345.13
0,2585.24
0,3461.13
0,2501.8
0,2457.95
0,2143.58
0,4020.14
0,2326.6
0,2491.08
0,2754.36
0,2513.36
0,2194.85
0,2022.14
0,2612.58
0,2734.59
0,3021.44
0,2241.83
0,2207.01
0,2352.91
0,4168.16
0,3347.39
0,2356.65
0,4380.94
0,2308.04
0,2225.25
0,2861.5
0,3177.07
0,3085.1
0,2227.94
0,2290.52
0,2399.84
0,3978.47
0,2548.9
0,2399.97
0,2314.11
0,2757.51
0,2219.58
0,3686.68
0,2787.76
0,3530.97
0,2987.53
0,3773.09
0,3560.73
0,2482.97
0,2215.04
0,2418.44
0,2284.74
0,2696.89
0,2462.09
0,2553.77
0,2522.67
0,2319.21
0,3194.74
0,2801.77
0,3116.18
0,2112.9
0,3466.8
0,4081.93
0,2189.71
0,2208.35
0,2498.98
0,2377.13
0,3216.69
0,2218.42
0,3976.7
0,3747.37
0,3252.98
0,3211.73
0,3914.5
0,2286.83
0,2283.56
0,3274.2
0,2423.44
0,2523.17
0,2379.52
0,2349.21
0,3612.99
0,2722.34
0,2063.13
0,2270.14
0,2930.18
0,2480.18
0,3370.44
0,2388.0
0,3000.35
0,2640.39
0,2777.57
0,2431.72
0,2256.56
0,2261.47
0,2521.17
0,2338.23
0,3907.83
0,2455.8
0,3218.68
0,2579.5
0,2507.03
0,2154.2
0,2431.85
0,4118.08
0,2050.57
0,2316.14
0,2439.08
0,2483.03
0,2530.97
0,2114.06
0,2206.52
0,2388.77
0,2634.73
0,2293.99
0,2326.62
0,2627.71
0,2085.55
0,3203.9
0,2400.76
0,2152.29
0,2180.19
0,3453.73
0,2245.12
0,2234.83
0,2586.46
0,2264.64
0,3272.38
0,2349.74
0,2286.45
0,3134.99
0,2317.26
0,3279.73
0,2628.86
0,2155.28
0,2551.96
0,2655.45
0,2322.48
0,2925.93
0,2497.39
0,3370.8
0,2582.61
0,2958.1
0,2249.1
0,2833.57
0,3228.11
0,3216.87
0,2508.49
0,2145.48
0,3488.4
0,4219.79
0,2142.87
0,2521.8
0,2588.31
0,2088.95
0,2560.65
0,2183.82
0,2997.29
0,2604.53
0,2578.86
0,2749.33
0,2842.92
0,2609.31
0,2976.0
0,2414.78
0,2327.81
0,2263.2
0,2551.96
0,2406.41
0,2543.29
0,2277.4
0,3807.03
0,2136.33
0,2096.46
0,3202.9
0,2149.55
0,3178.68
0,3272.74
0,2158.65
0,4000.74
0,2425.24
0,3611.61
0,2615.03
0,2926.83
0,2246.81
0,2517.95
0,2183.73
0,2513.48
0,2560.17
0,3332.37
0,3579.76
0,2589.83
0,3538.25
0,2189.0
0,4067.89
0,2393.21
0,2599.75
0,2413.91
0,2891.59
0,2534.22
0,2553.86
0,2499.03
0,2441.64
0,2281.2
0,2521.64
0,2251.69
0,2393.33
0,3311.9
0,4259.33
0,2034.2
0,3354.71
0,2151.93
0,2223.43
0,2019.57
0,2158.07
0,2129.02
0,2150.68
0,2227.01
0,2580.25
0,2532.17
0,3345.3
0,2526.46
0,3197.73
0,2435.34
0,2909.31
0,3255.8
0,2346.5
0,2470.72
0,2417.0
0,2234.63
0,2570.05
0,3949.02
0,2327.75
0,3560.08
0,2499.42
0,2956.57
0,2541.71
0,2563.4
0,2764.99
0,2273.31
0,2473.58
0,2400.19
0,2281.91
0,4168.6
0,3798.15
0,2315.86
0,3059.73
0,2397.58
0,4089.03
0,2258.16
0,2921.88
0,2151.92
0,3090.0
0,2569.99
0,2805.87
0,2409.29
0,2309.75
0,3242.67
0,2719.23
0,2573.3
0,3334.55
0,2480.68
0,2286.55
0,2349.31
0,3192.33
0,2290.4
0,2200.71
0,2198.38
0,2094.59
0,2280.34
0,2753.67
0,2264.99
0,2420.44
0,2132.15
0,2205.95
0,2460.76
0,2842.56
0,3208.56
0,2081.09
0,2129.52
0,2228.79
0,3796.38
0,3317.06
0,3206.66
0,3244.74
0,2567.69
0,2228.14
0,3114.66
0,2018.13
0,3403.04
0,3878.27
0,2455.24
0,2355.78
0,3330.46
0,2639.86
0,2437.67
0,3066.06
0,2225.98
0,2298.54
0,2421.66
0,2596.51
0,2447.55
0,2432.98
0,2328.41
0,2359.59
0,2569.0
0,2384.18
0,2244.67
0,3033.16
0,2698.34
0,2132.71
0,2958.24
0,4194.84
0,3962.1
0,3326.93
0,2376.42
0,3883.38
0,2045.66
0,4066.27
0,2768.75
0,2246.43
0,2576.04
0,2370.31
0,2199.04
0,2538.63
0,3118.17
0,2023.7
0,2399.86
0,2353.62
0,3069.44
0,3172.66
0,2190.5
0,3047.21
0,2370.94
0,2157.89
0,2666.61
0,2665.65
0,2371.34
0,2535.31
0,2491.04
0,2384.51
0,3063.0
0,2248.6
0,2136.77
0,2339.88
0,2244.98
0,3487.6
0,2610.42
0,2787.9
0,3789.51
0,3893.73
0,2684.39
0,3336.77
0,2310.77
0,2182.93
0,2433.47
0,2341.85
0,3161.76
0,2383.05
0,2084.5
0,2301.23
0,3277.56
0,2206.85
0,4279.33
0,2610.94
0,2153.17
0,2279.97
0,3801.12
0,2809.13
0,2209.52
0,4159.92
0,2300.99
0,2579.35
0,2380.26
0,3181.83
0,2295.39
0,2182.0
0,2160.68
0,2097.62
0,2436.34
0,3010.05
0,2333.91
0,2561.34
0,2469.05
0,2470.91
0,2449.93
0,2324.05
0,2209.18
0,2132.04
0,2163.93
0,2094.58
0,2530.0
0,2124.93
0,2196.56
0,2580.31
0,2221.2
0,3024.51
0,2461.35
0,3306.21
0,3788.44
0,2075.47
0,2212.38
0,2126.1
0,2551.0
0,1997.13
0,2519.49
0,2601.7
0,2520.12
